country,InternetUsers,LifeExpectancy,GDPPerCapita,HealthSpending,CO2Emissions,LabourForceParticipation,DeadKidsPerWoman
Pakistan,12,66.9,4580,8.38,0.896,54.3,0.429
Palestine,53.7,70.7,2640,,0.626,46.1,0.277
Peru,40.2,79.3,11500,145,1.99,80,0.141
Philippines,49.6,69.8,6590,27.3,1.06,64.9,0.31
Poland,66.6,77.5,24300,666,7.46,68.1,0.0635
Qatar,91.5,80.5,121000,1150,45.4,87.3,0.0875
Romania,54.1,74.8,19700,334,3.5,65.4,0.0781
Russia,70.5,70.8,24900,326,11.9,73.4,0.135
Rwanda,10.6,66.9,1620,27.8,0.074,88.1,1.25
Serbia,62.1,75.5,13100,338,4.24,62.7,0.0894
Singapore,79,83.4,80300,629,10.3,74.8,0.0379
Slovakia,80,76.7,27200,930,5.65,70.3,0.0677
Slovenia,71.6,80.7,28500,1590,6.19,71,0.0507
South Africa,49,60.6,12500,286,8.98,57,0.665
South Korea,87.6,80.9,33400,848,11.7,67.4,0.039
Spain,76.2,82.8,31200,2100,5.03,74.3,0.0425
Sweden,92.5,82.1,44200,3820,4.48,81.5,0.0562
Switzerland,87.4,83,56700,4610,4.29,82.9,0.0396
Tanzania,7,62.6,2400,20.8,0.221,84.7,1.16
Thailand,34.9,77.5,14900,134,4.62,76.8,0.0894
Trinidad and Tobago,65.1,73,31600,516,34.2,70.4,0.136
Tunisia,46.2,77.3,10800,129,2.59,51.6,0.112
Turkey,51,78.8,22400,510,4.49,54.6,0.118
Uganda,16.9,60.8,1670,10.2,0.135,71.9,1.51
Ukraine,46.2,71.7,8240,133,5.06,65.8,0.143
United Kingdom,91.6,80.8,38000,2940,6.46,76.6,0.0595
United States,73,78.9,51800,4440,16.5,71.6,0.0802
Uruguay,61.5,77,19800,669,1.97,76.4,0.0882
Uzbekistan,35.5,69.8,5370,39.1,3.45,68.5,0.233
Venezuela,57,75.5,16700,232,6.03,68,0.14
Vietnam,41,74.1,5370,31.4,1.8,83.3,0.0934
Yemen,22.6,68.4,3770,15.3,0.865,38.1,0.653
Zambia,19,57,3630,43.9,0.288,75.8,1.94
Zimbabwe,16.4,57,1910,,0.78,84,0.974
Sample Average,54.35543478,74.56630435,20999.13043,888.5858427,5.746871739,68.02967033,0.2647
