country,InternetUsers,LifeExpectancy,GDPPerCapita,HealthSpending,CO2Emissions,LabourForceParticipation,DeadKidsPerWoman
Netherlands,68.5,79.1,42700,2240,11.3,76.6,0.0609
New Zealand,61.8,79.5,31400,1570,8.47,76.3,0.063
Nigeria,1.29,56.1,4120,14.7,0.77,54.7,1.85
Norway,77.7,79.8,61700,4540,9.27,78.4,0.0586
Pakistan,6.16,63.4,3810,4.32,0.873,53.2,0.523
Palestine,4.4,71.5,2030,,0.627,41.7,0.336
Peru,14.1,76.7,7230,65.7,1.17,76.8,0.187
Philippines,5.24,68.2,4650,14,0.875,63.3,0.384
Poland,32.5,75,16600,282,7.93,63.7,0.0646
Qatar,20.7,76.4,116000,1350,56.6,79.6,0.119
Romania,15,72.1,14000,143,4.49,63.7,0.0877
Russia,12.9,65.8,18100,127,11.1,71.1,0.167
Rwanda,0.431,55.9,964,7.73,0.0599,87.6,1.57
Serbia,23.5,72.9,10300,189,5.72,64.1,0.105
Singapore,62,80.7,59000,283,6.52,69.6,0.0403
Slovakia,52.9,74.1,18800,417,7.18,69.8,0.0685
Slovenia,40.8,77.1,26000,1030,7.91,70.2,0.0538
South Africa,8.43,51.4,10600,151,9.33,56.3,0.77
South Korea,72.7,77.8,24600,415,9.94,65.9,0.047
Spain,44,80.2,32300,1410,7.83,68.8,0.0422
Sweden,83.9,80.2,40300,2980,6.06,77.6,0.0507
Switzerland,67.8,80.9,51100,3210,5.49,80.9,0.0413
Tanzania,0.878,54.8,1730,5.18,0.114,83.6,1.45
Thailand,10.7,73.4,11100,55.7,3.74,78.1,0.103
Trinidad and Tobago,27,71.1,25000,233,25.9,69,0.146
Tunisia,8.53,75.8,8580,92.5,2.23,49.8,0.126
Turkey,14.6,76.3,15200,221,3.36,49.2,0.151
Uganda,0.72,51.8,1210,5.92,0.063,71.4,2.06
Ukraine,3.49,67.6,7000,53.1,7.27,66.8,0.12
United Kingdom,65.6,78.8,36100,2390,9,74.9,0.0598
United States,64.8,77.5,48600,2790,19.7,74.4,0.079
Uruguay,17.1,75.3,12100,172,1.69,73.1,0.101
Uzbekistan,2.59,66.6,2900,10.6,4.82,67.1,0.269
Venezuela,8.4,74.9,13800,99,5.76,67.4,0.166
Vietnam,7.64,71.5,3280,8.37,1.08,82,0.107
Yemen,0.881,64.5,4050,14.5,0.943,44.4,0.912
Zambia,2.01,45.3,2380,18.4,0.183,79.7,2.31
Zimbabwe,2.1,45.1,1780,,0.742,83,1.44
Sample Average,22.37974157,71.26847826,17887.79348,565.1324444,5.948427174,66.56593407,0.325040659
