country,InternetUsers,LifeExpectancy,GDPPerCapita,HealthSpending,CO2Emissions,LabourForceParticipation,DeadKidsPerWoman
Japan,21.4,80.6,33000,2100,9.4,72.6,0.039
Jordan,2.53,73,7060,85.6,2.91,43.9,0.28
Kazakhstan,0.464,64.4,9040,25.7,7.68,77,0.281
Kuwait,4.76,76.2,70000,473,27.6,68.2,0.169
Kyrgyzstan,0.205,66.2,1990,7.41,0.961,68.5,0.325
Latvia,4.39,69.9,10500,115,2.82,68.2,0.096
Lebanon,5.38,76,12700,143,5.22,47.3,0.207
Libya,0.134,74.5,21500,108,8.46,52.1,0.215
Lithuania,2.92,71.8,11700,145,3.88,72.4,0.0946
Macedonia,1.5,71.9,8290,98.1,5.79,60.1,0.107
Malaysia,12.3,72.9,15300,62.9,4.76,64.1,0.213
Mali,0.0609,53.4,1510,4.87,0.0746,52.6,2.3
Mexico,1.86,74.1,14500,132,3.9,62.9,0.148
Moldova,0.601,67.5,2270,8.16,1.07,55.5,0.173
Montenegro,,73.6,9760,71.6,2.55,59.9,0.0939
Morocco,0.176,70.5,4450,16.1,1.16,53.1,0.277
Netherlands,39.2,78,40300,1320,11,73.5,0.0636
New Zealand,41.5,78.2,27600,894,8.55,74.9,0.0773
Nigeria,0.041,54.8,2770,4.7,0.338,55.1,2.07
Norway,40,78.5,56600,2750,9.09,80.3,0.0705
Pakistan,0.0554,62.5,3430,2.97,0.741,51.9,0.677
Palestine,,71.9,2530,,0.439,40.4,0.418
Peru,1.95,74.1,6480,55.7,1.15,71.8,0.247
Philippines,1.43,68.3,4130,15.7,0.906,63.7,0.414
Poland,5.46,73.1,13900,179,8.19,63.9,0.0864
Qatar,4.07,75.1,104000,424,55.2,78,0.15
Romania,2.7,70.9,10300,53.9,4.03,69.9,0.108
Russia,1.02,66.1,12700,47.7,10.4,70.9,0.143
Rwanda,0.0672,48,766,5.05,0.0671,88.9,2.21
Serbia,,71,7390,89.9,3.7,64.8,0.107
Singapore,24.2,78.9,48300,332,13.1,69.9,0.0566
Slovakia,5.44,73,15400,196,7.27,68.9,0.0827
Slovenia,12.6,75.5,21900,664,7.66,67.7,0.057
South Africa,4.12,57.6,9470,108,8.33,55.9,0.642
South Korea,23.6,75.7,19200,212,8.5,63.7,0.0658
Spain,7.09,79.1,28600,816,6.96,63.7,0.0426
Sweden,41.4,79.5,35200,2050,5.76,78.5,0.0499
Switzerland,34,79.7,48700,2110,5.7,81,0.0464
Tanzania,0.0751,52.5,1450,3.83,0.0762,83.6,1.69
Thailand,2.43,71.6,8890,37.7,2.83,77.2,0.118
Trinidad and Tobago,5.81,69.3,17200,100,17.8,66.2,0.15
Tunisia,1.6,74.7,7310,66.2,1.91,50.9,0.149
Turkey,2.29,72,13200,114,3.16,54.4,0.222
Uganda,0.106,48.2,1070,4.91,0.0564,71,2.41
Ukraine,0.405,67.8,4490,18.8,6.75,66.2,0.115
United Kingdom,21.3,77.5,31900,1420,9.04,74.9,0.0651
United States,35.8,76.8,44700,1920,19.7,76.6,0.0844
Uruguay,9.97,74.4,13200,461,2.03,73.2,0.116
Uzbekistan,0.0307,66.3,2450,19.6,5.02,66.9,0.307
Venezuela,2.84,70.7,14200,85.8,7.2,66.2,0.197
Vietnam,0.129,70.5,2520,6.32,0.601,82.6,0.141
Yemen,0.0566,62.1,3770,10.8,0.8,48.6,1.25
Zambia,0.147,44.3,2080,9.02,0.177,79.4,2.5
Zimbabwe,0.162,47.8,2690,17.6,1.31,71.4,1.38
Sample Average,7.472507955,70.06956522,15493.86957,364.6198901,5.60153913,66.13186813,0.382131868
